Zip code,City,
60803,Alsip,
60501,Argo,
60004,Arlington Heights,
60004,Arlington Heights,
60005,Arlington Heights,
60005,Arlington Heights,
60006,Arlington Heights,
60006,Arlington Heights,
60133,Bartlett,
60455,Bedford Park,
60458,Bedford Park,
60459,Bedford Park,
60499,Bedford Park,
60501,Bedford Park,
60638,Bedford Park,
60104,Bellwood,
60163,Berkeley,
60402,Berwyn,
60406,Blue Island,
60455,Bridgeview,
60153,Broadview,
60155,Broadview,
60513,Brookfield,
60459,Burbank,
60633,Burnham,
60409,Calumet City,
60643,Calumet Park,
60827,Calumet Park,
60601,Chicago,
60602,Chicago,
60603,Chicago,
60604,Chicago,
60605,Chicago,
60606,Chicago,
60607,Chicago,
60608,Chicago,
60609,Chicago,
60610,Chicago,
60611,Chicago,
60612,Chicago,
60613,Chicago,
60614,Chicago,
60615,Chicago,
60616,Chicago,
60617,Chicago,
60618,Chicago,
60619,Chicago,
60620,Chicago,
60621,Chicago,
60622,Chicago,
60623,Chicago,
60624,Chicago,
60625,Chicago,
60626,Chicago,
60628,Chicago,
60629,Chicago,
60630,Chicago,
60631,Chicago,
60632,Chicago,
60633,Chicago,
60634,Chicago,
60636,Chicago,
60637,Chicago,
60638,Chicago,
60639,Chicago,
60640,Chicago,
60641,Chicago,
60643,Chicago,
60644,Chicago,
60645,Chicago,
60646,Chicago,
60647,Chicago,
60649,Chicago,
60651,Chicago,
60652,Chicago,
60653,Chicago,
60654,Chicago,
60655,Chicago,
60656,Chicago,
60657,Chicago,
60659,Chicago,
60660,Chicago,
60661,Chicago,
60664,Chicago,
60666,Chicago,
60680,Chicago,
60681,Chicago,
60690,Chicago,
60691,Chicago,
60701,Chicago,
60706,Chicago,
60707,Chicago,
60803,Chicago,
60804,Cicero,
60805,Chicago,
60827,Chicago,
60411,Chicago Heights,
60412,Chicago Heights,
60415,Chicago Ridge,
60804,Cicero,
60478,Country Club Hills,
60525,Countryside,
60445,Crestwood,
60016,Des Plaines,
60017,Des Plaines,
60018,Des Plaines,
60426,Dixmoor,
60419,Dolton,
60007,Elk Grove Village,
60007,Elk Grove Village,
60009,Elk Grove Village,
60009,Elk Grove Village,
60707,Elmwood Park,
60201,Evanston,
60202,Evanston,
60203,Evanston,
60204,Evanston,
60805,Evergreen Park,
60422,Flossmoor,
60411,Ford Heights,
60130,Forest Park,
60402,Forestview,
60131,Franklin Park,
60022,Glencoe,
60025,Glenview,
60026,Glenview,
60026,Glenview,
60425,Glenwood,
60029,Golf,
60133,Hanover Park,
60426,Harvey,
60630,Harwood Heights,
60634,Harwood Heights,
60656,Harwood Heights,
60706,Harwood Heights,
60429,Hazel Crest,
60457,Hickory Hills,
60162,Hillside,
60163,Hillside,
60141,Hines,
60525,Hodgkins,
60173,Hoffman Estates,
60192,Hoffman Estates,
60194,Hoffman Estates,
60195,Hoffman Estates,
60456,Hometown,
60430,Homewood,
60525,Indian Head Park,
60525,Indianhead Park,
60525,Indianhead Pk,
60630,Jefferson Park,
60458,Justice,
60043,Kenilworth,
60525,La Grange,
60525,La Grange Highlands,
60526,La Grange Park,
60526,La Grange Park,
60438,Lansing,
60645,Lincolnwood,
60646,Lincolnwood,
60659,Lincolnwood,
60712,Lincolnwood,
60411,Lynwood,
60534,Lyons,
60426,Markham,
60443,Matteson,
60153,Maywood,
60525,McCook,
60160,Melrose Park,
60161,Melrose Park,
60164,Melrose Park,
60165,Melrose Park,
60655,Merrionette Park,
60803,Merrionette Park,
60445,Midlothian,
60053,Morton Grove,
60655,Mount Greenwood,
60056,Mount Prospect,
60714,Niles,
60634,Norridge,
60656,Norridge,
60706,Norridge,
60546,North Riverside,
60062,Northbrook,
60065,Northbrook,
60093,Northfield,
60164,Northlake,
60452,Oak Forest,
60453,Oak Lawn,
60454,Oak Lawn,
60455,Oak Lawn,
60456,Oak Lawn,
60457,Oak Lawn,
60458,Oak Lawn,
60459,Oak Lawn,
60301,Oak Park,
60302,Oak Park,
60303,Oak Park,
60304,Oak Park,
60666,Ohare,
60461,Olympia Fields,
60477,Orland Hills,
60462,Orland Park,
60467,Orland Park,
60067,Palatine,
60074,Palatine,
60078,Palatine,
60094,Palatine,
60095,Palatine,
60463,Palos Heights,
60465,Palos Hills,
60464,Palos Park,
60466,Park Forest,
60068,Park Ridge,
60426,Phoenix,
60469,Posen,
60070,Prospect Heights,
60070,Prospect Heights,
60471,Richton Park,
60305,River Forest,
60171,River Grove,
60827,Riverdale,
60546,Riverside,
60472,Robbins,
60008,Rolling Meadows,
60008,Rolling Meadows,
60018,Rosemont,
60411,Sauk Village,
60159,Schaumburg,
60168,Schaumburg,
60173,Schaumburg,
60192,Schaumburg,
60193,Schaumburg,
60194,Schaumburg,
60195,Schaumburg,
60176,Schiller Park,
60076,Skokie,
60077,Skokie,
60411,South Chicago Heights,
60473,South Holland,
60499,South Suburban,
60475,Steger,
60402,Stickney,
60165,Stone Park,
60107,Streamwood,
60501,Summit,
60501,Summit Argo,
60082,Techny,
60476,Thornton,
60477,Tinley Park,
60466,University Park,
60154,Westchester,
60558,Western Springs,
60090,Wheeling,
60480,Willow Springs,
60091,Wilmette,
60093,Winnetka,
60482,Worth,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,